Helyezés;Név;Ország;Év;Kategória
;Alain Neveux;France;1970;Döntő + díjazott
;Karol Nicze;Poland;1970;Döntő + díjazott
;Irina Smolina;Soviet Union;1970;Döntő + díjazott
1;Krystian Zimerman;Poland;1975;Döntő + helyezés
2;Dina Joffe;Soviet Union;1975;Döntő + helyezés
3;Tatyana Fedkina;Soviet Union;1975;Döntő + helyezés
4;Pavel Gililov;Soviet Union;1975;Döntő + helyezés
5;Dean Kramer;United States;1975;Döntő + helyezés
;John Hendrickson;Canada;1975;Egyéb díjazott
;Elżbieta Tarnawska;Poland;1975;Egyéb díjazott
;Alexander Urwałow;Soviet Union;1975;Egyéb díjazott
;Wiktor Wasiliew;Soviet Union;1975;Egyéb díjazott
;William Wolfram;United States;1975;Egyéb díjazott
;Katarzyna Popowa-Zydroń;Poland;1975;Egyéb díjazott
;Neal Larrabee;United States;1975;Egyéb díjazott
;Dan Atanasiu;Romania;1975;Egyéb díjazott
6;Diana Kacso;Brazil;1975;Döntő + helyezés
1;Đặng Thái Sơn;Vietnam;1980;Döntő + helyezés
2;Tatiana Shebanova;Soviet Union;1980;Döntő + helyezés
3;Arutyun Papazyan;Soviet Union;1980;Döntő + helyezés
5;Akiko Ebi;Japan;1980;Döntő + helyezés
5;Ewa Pobłocka;Poland;1980;Döntő + helyezés
6;Erik Berchot;France;1980;Döntő + helyezés
;Dan Atanasiu;Romania;1980;Egyéb díjazott
;Bernard d'Ascoli;France;1980;Egyéb díjazott
;Angela Hewitt;Canada;1980;Egyéb díjazott
;Alexander Lonquich;Germany;1980;Egyéb díjazott
;Kevin Kenner;United States;1980;Egyéb díjazott
;William Wolfram;United States;1980;Egyéb díjazott
;Ivo Pogorelić;Yugoslavia;1980;Egyéb díjazott
;Hung-Kuan Chen;Taiwan;1980;Egyéb díjazott
6;Irina Pietrova;Soviet Union;1980;Döntő + helyezés
1;Stanislav Bunin;Soviet Union;1985;Döntő + helyezés
2;Marc Laforet;France;1985;Döntő + helyezés
3;Krzysztof Jabłoński;Poland;1985;Döntő + helyezés
4;Michie Koyama;Japan;1985;Döntő + helyezés
5;Jean-Marc Luisada;France;1985;Döntő + helyezés
6;Tatyana Pikayzen;Soviet Union;1985;Döntő + helyezés
2;Kevin Kenner;United States;1990;Döntő + helyezés
3;Yukio Yokoyama;Japan;1990;Döntő + helyezés
4;Corrado Rollero;Italy;1990;Döntő + helyezés
4;Margarita Shevchenko;Soviet Union;1990;Döntő + helyezés
5;Anna Malikova;Soviet Union;1990;Döntő + helyezés
5;Takako Takahashi;Japan;1990;Döntő + helyezés
6;Caroline Sageman;France;1990;Döntő + helyezés
1;Adam Harasiewicz;Poland;1955;Döntő + helyezés
2;Vladimir Ashkenazy;Soviet Union;1955;Döntő + helyezés
3;Fou Ts'ong;China;1955;Döntő + helyezés
4;Bernard Ringeissen;France;1955;Döntő + helyezés
5;Naum Shtarkman;Soviet Union;1955;Döntő + helyezés
6;Dmitry Paperno;Soviet Union;1955;Döntő + helyezés
7;Lidia Grychtołówna;Poland;1955;Döntő + helyezés
8;André Tchaikowsky;Poland;1955;Döntő + helyezés
9;Dmitry Sakharov;Soviet Union;1955;Döntő + helyezés
10;Kiyoko Tanaka;Japan;1955;Döntő + helyezés
;Emi Béhar;Bulgaria;1955;Döntő + díjazott
;Monique Duphil;France;1955;Döntő + díjazott
;Peter Frankl;Hungary;1955;Döntő + díjazott
;Stanislav Knor;Czechoslovakia;1955;Döntő + díjazott
;Edwin Kowalik;Poland;1955;Döntő + díjazott
;Nina Lelczuk;Soviet Union;1955;Döntő + díjazott
;Miłosz Magin;Poland;1955;Döntő + díjazott
;Annerose Schmidt;Germany;1955;Döntő + díjazott
;Irina Sijalova;Soviet Union;1955;Döntő + díjazott
;Tamás Vásáry;Hungary;1955;Döntő + díjazott
2;Philippe Giusiano;France;1995;Döntő + helyezés
2;Alexei Sultanov;Uzbekistan;1995;Döntő + helyezés
3;Gabriela Montero;Venezuela;1995;Döntő + helyezés
4;Rem Urasin;Russia;1995;Döntő + helyezés
5;Rika Miyatani;Japan;1995;Döntő + helyezés
;Nami Ejiri;Poland;1995;Döntő + díjazott
;Nelson Goerner;Argentina;1995;Döntő + díjazott
;Andrey Ponochevny;Belarus;1995;Döntő + díjazott
;Katia Skanavi;Russia;1995;Döntő + díjazott
6;Magdalena Lisak;Poland;1995;Döntő + helyezés
1;Li Yundi;China;2000;Döntő + helyezés
2;Ingrid Fliter;Argentina;2000;Döntő + helyezés
3;Alexander Kobrin;Russia;2000;Döntő + helyezés
4;Sa Chen;China;2000;Döntő + helyezés
5;Alberto Nosè;Italy;2000;Döntő + helyezés
6;Mika Sato;Japan;2000;Döntő + helyezés
1;Rafał Blechacz;Poland;2005;Döntő + helyezés
3;Dong-Hyek Lim;South Korea;2005;Döntő + helyezés
3;Dong-Min Lim;South Korea;2005;Döntő + helyezés
4;Shohei Sekimoto;Japan;2005;Döntő + helyezés
4;Takashi Yamamoto;Japan;2005;Döntő + helyezés
6;Ka Ling Colleen Lee;Hong Kong;2005;Döntő + helyezés
;Andriej Jaroszynskij;Russia;2005;Döntő + díjazott
;Jacek Kortus;Poland;2005;Döntő + díjazott
;Rachel Naomi Kudo;United States;2005;Döntő + díjazott
;Rieko Nezu;Japan;2005;Döntő + díjazott
;Yuma Osaki;Japan;2005;Döntő + díjazott
;Yeol Eum Son;South Korea;2005;Döntő + díjazott
1;Yulianna Avdeeva;Russia;2010;Döntő + helyezés
2;Lukas Geniušas;Lithuania;2010;Döntő + helyezés
2;Ingolf Wunder;Austria;2010;Döntő + helyezés
3;Daniil Trifonov;Russia;2010;Döntő + helyezés
4;Evgeni Bozhanov;Bulgaria;2010;Döntő + helyezés
5;François Dumont;France;2010;Döntő + helyezés
;Nikolay Khozyainov;Russia;2010;Döntő + díjazott
;Miroslav Kultyshev;Russia;2010;Döntő + díjazott
;Pawel Wakarecy;Poland;2010;Döntő + díjazott
;Hélène Tysman;France;2010;Döntő + díjazott
1;Bruce Liu;Canada;2021;Döntő + helyezés
2;Alexander Gadjiev;Italy;2021;Döntő + helyezés
2;Kyohei Sorita;Japan;2021;Döntő + helyezés
3;Martín García García;Spain;2021;Döntő + helyezés
4;Aimi Kobayashi;Japan;2021;Döntő + helyezés
4;Jakub Kuszlik;Poland;2021;Döntő + helyezés
5;Leonora Armellini;Italy;2021;Döntő + helyezés
6;J J Jun Li Bui;Canada;2021;Döntő + helyezés
;Eva Gevorgyan;Armenia;2021;Döntő + díjazott
;Hyuk Lee;South Korea;2021;Döntő + díjazott
;Kamil Pacholec;Poland;2021;Döntő + díjazott
;Hao Rao;China;2021;Döntő + díjazott
1;Seong-Jin Cho;South Korea;2015;Döntő + helyezés
2;Charles Richard-Hamelin;Canada;2015;Döntő + helyezés
3;Kate Liu;United States;2015;Döntő + helyezés
4;Eric Lu;United States;2015;Döntő + helyezés
5;Tony Yike Yang;Canada;2015;Döntő + helyezés
6;Dmitry Shishkin;Russia;2015;Döntő + helyezés
;Aljoša Jurinić;Croatia;2015;Döntő + díjazott
;Aimi Kobayashi;Japan;2015;Döntő + díjazott
;Szymon Nehring;Poland;2015;Döntő + díjazott
;Georgijs Osokins;Latvia;2015;Döntő + díjazott
1;Eric Lu;United States;2025;Döntő + helyezés
2;Kevin Chen;Canada;2025;Döntő + helyezés
3;Zitong Wang;China;2025;Döntő + helyezés
4;Tianyao Lyu;China;2025;Döntő + helyezés
4;Shiori Kuwahara;Japan;2025;Döntő + helyezés
5;Piotr Alexewicz;Poland;2025;Döntő + helyezés
5;Vincent Ong;Malaysia;2025;Döntő + helyezés
6;William Yang;United States;2025;Döntő + helyezés
;David Khrikuli;Georgia;2025;Döntő + díjazott
;Tianyou Li;China;2025;Döntő + díjazott
;Miyu Shindo;Japan;2025;Döntő + díjazott
